Category,Name,Type,Description
egg dishes,Egg sandwich,Egg dishes,"A sandwich with some kind of egg filling. Sliced hard boiled eggs, egg salad and scrambled eggs are popular options. Additional fillings such as various meats and cheeses abound. Common versions are the fried egg sandwich and the bacon, egg and cheese sandwich."
egg dishes,Egg thread nets[16],Egg dishes,Used to hold other foods
egg dishes,Eggs and brains,Egg dishes,Pork brains (or those of another mammal) and scrambled eggs. It is a dish of the Portuguese cuisine known as Omolete de Mioleira
egg dishes,Eggs Beauregard,Egg dishes,Biscuits and gravy with fried egg and sausage
regional dishes,Eggs Benedict,Regional dishes of the United States,"The two halves of a toasted English muffin topped with Canadian bacon, poached eggs, and hollandaise sauce.[21] Claims exist that it was invented at the Waldorf Hotel in New York City in 1894, and another claim is that it was first made by Edward P. Montgomery on behalf of commodore E. C. Benedict.[22]"
egg dishes,Eggs do pyaza[17],Egg dishes,A type of dopiaza made with eggs.
egg dishes,Eggs moghlai[18],Egg dishes,
egg dishes,Eggs Neptune,Egg dishes,A variation of Eggs Benedict with crab meat replacing Canadian bacon
egg dishes,Eggs Florentine,Egg dishes,A variation of Eggs Benedict with spinach replacing Canadian bacon
egg dishes,Eggs Royale,Egg dishes,A variation on Eggs Benedict replacing the ham with smoked salmon
egg dishes,Eggs thoren[citation needed],Egg dishes,
egg dishes,Ervilhas com ovos[19],Egg dishes,
Jewish cuisine dishes,Eyerlekh,Traditional Ashkenazi dishes,"Unhatched eggs found inside just-slaughtered chickens, typically cooked in soup"
egg dishes,Farofa de ovos[20],Egg dishes,
egg dishes,Flæskeæggekage[21][22],Egg dishes,"A oven baked or pan fried thick omelette (egg cake) topped with crispy bacon, tomatoes and chives"
egg dishes,French Toast,Egg dishes,"Bread dipped in raw egg yolk is shallow fried on a pan. Often topped with a sprinkling of powdered sugar, fruit, or maple syrup."
egg dishes,Frittata,Egg dishes,"An Italian egg-based dish similar to an omelette or crustless quiche, enriched with additional ingredients such as meats, cheeses, vegetables or pasta."
egg dishes,Gari foto[23][24],Egg dishes,
egg dishes,Gyeran changjorim,Egg dishes,Salted egg with soy sauce
egg dishes,Gyeran-mari,Egg dishes,
egg dishes,Gyeranppang,Egg dishes,A snack food prepared with egg and rice flour
egg dishes,Haminados,Egg dishes,Eggs braised or cooked in Shabbat stew or cooked separately.
regional dishes,Hangtown fry,Fish and seafood dishes,"Hangtown fry is a type of omelette made famous during the California Gold Rush in the 1850s. The most common version includes bacon and oysters combined with eggs, and fried together.[155]"
egg dishes,Huevos divorciados,Egg dishes,"A Mexican breakfast featuring two fried eggs separated by a column of chilaquiles, and each egg is covered by a different salsa."
egg dishes,Huevos motuleños,Egg dishes,"A breakfast food made with eggs on tortillas with black beans and cheese, often with other ingredients such as ham, peas, plantains, and salsa picante.[26]"
egg dishes,Huevos rancheros,Egg dishes,"Eggs either poached in salsa or fried, served on top of corn tortillas and frijoles. Toppings may include avocado slices, melted cheese, sour cream, cilantro, etc."
egg dishes,Huevos rotos [es],Egg dishes,"Fried or scrambled eggs are served on top of fried potatoes, sometimes with ham and/or other types of meat such as chorizo. If the eggs are fried, they may be put whole on top of the potatoes or they may be cut up."
snack foods from the Indian subcontinent,Indian omelette,,"A version of the omelette found in Indian cuisine.  Its main ingredients are eggs, herbs, tomatoes and spices that vary by region. The omelette commonly includes finely chopped green chili peppers and onions (or shallots), finely chopped fresh green coriander, salt, and jeera (cumin), and many variations exist."
egg dishes,Kai doon[citation needed],Egg dishes,
egg dishes,Kai kwan[27],Egg dishes,
egg dishes,Kai look koei[28],Egg dishes,
egg dishes,Kai tian[citation needed],Egg dishes,
egg dishes,Kai tord gup moo[citation needed],Egg dishes,
Thai dishes,Khai yat sai,Fried and stir-fried dishes,"An omelette is fried filled with various ingredients of choice (minced beef or pork, prawns, and vegetables) and then folded over."
egg dishes,Khanom khai,Egg dishes,
rice dishes,Kedgeree,Rice dishes,"Flaked fish (usually smoked haddock), boiled rice, eggs and butter."
egg dishes,Kluski z zoltek[citation needed],Egg dishes,Noodles with yolk. Usually pan fried.
egg dishes,Kuku (food),Egg dishes,Genre of egg dishes cooked in a pancake or pattie shape with one or more ingredients
egg dishes,Kuro-tamago hard-boiled egg,Egg dishes,"Black boiled egg, cooked in sulphur rich hot spring."
regional dishes,Loco moco,Regional dishes of the United States,"There are many variations, but the traditional loco moco consists of white rice, topped with a hamburger patty, a fried egg, and brown gravy[44]"
egg dishes,Machaca and eggs,Egg dishes,Shredded beef with scrambled eggs and sometimes other ingredients such as onions and chili peppers
Jewish cuisine dishes,Matzah brei,Traditional Ashkenazi dishes,A Passover breakfast dish made of roughly broken pieces of matzah soaked in beaten eggs and fried.
egg dishes,Menemen,Egg dishes,
Spanish dishes,Migas,bread dish,bread crumbs
egg dishes,Mirza-Qasemi,Egg dishes,"Eggs, Tandoori or kabobed aubergine, tomato, seasoned with garlic, salt and pepper"
egg dishes,Nargesi (Spinach Omelette),Egg dishes,"Made with eggs, fried onion and spinach. It's spiced with salt, garlic, and pepper. Named after Narcissus flower."
egg dishes,Nargesi Kebab,Egg dishes,"A kind of Kofta with a chicken egg in the middle. Named after Narcissus flower because when koftas are cut, they look like the flower's petals."
egg dishes,'Ojja bi'l-Hrus[citation needed],Egg dishes,
fried dough foods,Okonomiyaki,Fried dough foods,Pan-fried savory pancake made from flour and various other ingredients
egg dishes,One Eyed Jack[citation needed],Egg dishes,aka Egg in the basket (many)
egg dishes,Oto[citation needed],Egg dishes,
Malaysian dishes,Oyster omelette,Seafood dish,The dish consists of an omelette with a filling primarily composed of small oysters.
egg dishes,Perico,Egg dishes,
egg dishes,Philadelphia Cheesy Eggs[citation needed],Egg dishes,
egg dishes,Pickled egg,Egg dishes,"Typically hard boiled eggs that are cured in vinegar or brine. This was originally done like many foods as a way to preserve the food so that it could be eaten months later. Pickled eggs have since become a favorite among many as a snack or hors d'œuvre popular in pubs, bars and taverns, and around the world in places where beer is served."
egg dishes,Quiche,Egg dishes,"Quiche has a pastry crust and a filling of eggs and milk or cream. It can be made with vegetables, meat and seafood."
egg dishes,Rafanata,Egg dishes,"A type of frittata made with eggs, horseradish, and pecorino cheese.[30] Variations may include boiled potatoes and sausage."
egg dishes,Salted duck egg,Egg dishes,"Originated in China, it is a duck egg pickled in salt water brine. given it a unique flavor and texture when cooked, with the whites becomes salty with a little snappier texture and the yolk has a peanut-butter-like creamy texture"
egg dishes,Scalloped eggs[31],Egg dishes,
egg dishes,refried eggs,Egg dishes,"Sliced hard-boiled eggs, refried with or without extra vegatables. Refried eggs taste different than hard-boiled eggs"
egg dishes,Scotch egg,Egg dishes,"A hard-boiled egg wrapped in sausage meat, coated in bread crumbs and baked or deep-fried."
African dishes,Shakshouka,African dishes,"A dish of eggs poached in a sauce of tomatoes, chili peppers, and onions, often spiced with cumin.[33] It is believed to have a Tunisian origin.[34]"
egg dishes,Smoked egg,Egg dishes,
egg dishes,Soufflé,Egg dishes,
egg dishes,Stracciatella (soup),Egg dishes,Soup made from thin strands of beaten egg mixture in a meat broth.
egg dishes,Stratta,Egg dishes,
egg dishes,Steak and eggs,Egg dishes,Prepared with beefsteak and eggs. Several variations exist.
egg dishes,Tahu Telur[33][34],Egg dishes,
egg dishes,Akashiyaki,Egg dishes,"A small piece of octopus encased in a round egg mix, developed into takoyaki. Called simply tamago-yaki (egg-cook) by the Akashi locals."
egg dishes,Takoyaki,Egg dishes,"A small piece of octopus encased in a round egg mix, developed from akashiyaki."
egg dishes,Tamago dashimaki,Egg dishes,Omelet rolls[35]
egg dishes,Tamago kake gohan,Egg dishes,
egg dishes,Tamagoyaki,Egg dishes,"Made by rolling together several layers of cooked egg, sometimes with sugar, soy sauce, mirin, or other additives."
egg dishes,Tea egg,Egg dishes,
egg dishes,Tokneneng,Egg dishes,
egg dishes,Scotch woodcock,Egg dishes,Scrambled eggs on toast topped with anchovy[36]
egg dishes,Akok[37],Egg dishes,
egg dishes,Custard pie,Egg dishes,
egg dishes,Datemaki,Egg dishes,"An omelet roll, in which rice is wrapped in omelet[38]"
egg dishes,Divinity,Egg dishes,
egg dishes,Doce de ovos[39],Egg dishes,
egg dishes,Egg custard,Egg dishes,
egg dishes,Egg tart,Egg dishes,
egg dishes,Fios de ovos,Egg dishes,"Angel hair, called in Portuguese fios de ovos (""egg threads""), is a traditional Portuguese sweet food made of eggs (chiefly yolks), drawn into thin strands and boiled in sugar syrup."
egg dishes,Foi tong[41],Egg dishes,Derived from Portugal's fios de ovos
egg dishes,Huevos reales[42],Egg dishes,
egg dishes,Kanom mo Kaeng[43],Egg dishes,
egg dishes,Kaiserschmarrn,Egg dishes,
egg dishes,Keiran Soumen[citation needed],Egg dishes,Derived from Portugal's fios de ovos
egg dishes,Khagina,Egg dishes,
egg dishes,Kogel mogel,Egg dishes,
egg dishes,Lampreia de ovos[44],Egg dishes,
egg dishes,Meringue,Egg dishes,
egg dishes,Oeufs à la neige/Île flottante/Floating island,Egg dishes,
egg dishes,Omelette Surprise[45],Egg dishes,
egg dishes,Ovos Moles de Aveiro,Egg dishes,PGI
egg dishes,Ovos moles de papaia,Egg dishes,An egg yolk and papaya pudding[47]
egg dishes,Pasteis de nata,Egg dishes,
strawberry dishes,Pavlova,Strawberry dishes,"A cake that is traditionally decorated with a topping of whipped cream and fresh soft fruit such as kiwifruit, passionfruit, and strawberries.[4]"
egg dishes,Quindim,Egg dishes,"A baked dessert, made chiefly from sugar, egg yolks, and ground coconut."
potato dishes,Spanish omelette,Potato dishes,Potato and egg fried in olive oil (also called a tortilla)
egg dishes,Sweet omelette[49],Egg dishes,
egg dishes,Trouxas de ovos[50],Egg dishes,
egg dishes,Tunisian tajine,Egg dishes,"A baked egg dish that has a ragout, a starch element is added and it is often served in squares"
egg dishes,Yemas de San Leandro[51],Egg dishes,
egg dishes,Baid Mutajjan[52],Egg dishes,"Also called Baid Maza3lil or Baid Mezaghlil. An egg is hard boiled, peeled, then pan fried whole with butter and spices."
egg dishes,Raw egg Smoothie,Egg dishes,"Also known as Raw Egg Milkshake and Raw Egg Protein Shake in different parts of the world, it primarily contains Milk or Yogurt, and Raw egg. Sugar, fruits and spices may be added for flavor."
egg dishes,Kimi no Shoyu-zuke,Egg dishes,"Egg yolk marinated in Soy sauce and Mirin, eaten (raw) as a topping on rice"
egg dishes,Lamprais,Egg dishes,"A curry dish, with rice, baked within a banana leaf wrapping, often featuring a deep-fried boiled egg."
egg dishes,Cocktail,Egg dishes,"Many shaken cocktails, such as the whiskey sour and the pictured Ramos gin fizz, are topped with a thick egg-white foam for aesthetic and textural purposes."
egg dishes,Flip,Egg dishes,A shaken cocktail featuring a whole raw egg.
egg dishes,Œufs en gelée,Egg dishes,Poached eggs encapsulated within aspic.[53]
egg dishes,Torta pasqualina,Egg dishes,A spinach pie with whole boiled eggs baked into it.
snack foods,Frozen custard,"Cookies, cakes and pastries","A cold dessert similar to ice cream, but made with eggs in addition to cream and sugar. It was invented in Coney Island, New York in 1919, when ice cream vendors Archie and Elton Kohr found that adding egg yolks to ice cream created a smoother texture and helped the ice cream stay cold longer. In their first weekend on the boardwalk, the Kohr brothers sold 18,460 cones.[24]"
egg dishes,Hamburger,Egg dishes,"Hamburger patties may include eggs as a binder. A fried egg is a popular though non-traditional hamburger topping, as pictured to the left."
egg dishes,Ham and eggs,Egg dishes,"A dish combining various preparations of its main ingredients, ham and eggs."
Philippine dishes,Silog,Rice,"Refers to the combination of sinangag (fried rice),  itlog (egg) and meats. The name of the meats are then suffixed to the word silog, turning meats such as tapa and longganisa into tapsilog and longsilog, It is also served with other viands such as Tocino (Tocilog), Hotdog (Hotsilog), and Bangus (milkfish) (bangsilog)."
egg dishes,Zabaione,Egg dishes,"Dessert made from egg yolks, sugar and wine."
egg dishes,Eggnog,Egg dishes,"Sweetened dairy-based beverage traditionally made with milk, cream, sugar, whipped egg whites, and egg yolks."
Philippine dishes,Adobo,Meat/Seafood/Vegetable dish,"Typically pork or chicken, or a combination of both, is slowly cooked in vinegar, cooking oil, crushed garlic, bay leaf, black peppercorns, and soy sauce, and often browned in the oven or pan-fried afterward to get the desirable crisped edges."
Philippine dishes,Afritada,Meat dish,Chicken and/or pork and potatoes cooked in tomato sauce.
Philippine dishes,Barbecue (Satti),,"Philippine English term for Satay. Grilled or skewered meat (mainly pork or chicken) marinated in a sweet soy-garlic mixture, grilled, basted with the marinade and then served with either a soy-vinegar dip or a sweet brown sauce. Variants also use offal, such as isaw."
Philippine dishes,Bopis,Meat dish,"A spicy dish made out of pork lungs and heart sautéed in tomatoes, chilies and onions."
shrimp dishes,Camaron rebosado,Shrimp dishes,Deep-fried battered shrimp served with sweet and sour sauce.[4][5]
Philippine dishes,Chicken pastel,Meat dish,"Flavorful thick cream dish in cheese casserole.Cooked with Hotdog, Chorizo, Potatoes, Carrots and saute spices that complements with chicken."
Philippine dishes,Crispy pata,Meat dish,Deep fried portions of pork legs including knuckles often served with a chili and calamansi flavored dipping soy sauce or chili flavored vinegar for dipping.
Philippine dishes,Crispy tadyang ng baka,Meat dish,Crispy beef ribs often served with a chili and calamansi flavored soy sauce or chili flavored vinegar for dipping.
Philippine dishes,Curacha,Seafood,Boiled or steamed sea crab.
Philippine dishes,Daing,Fish dish,"Fish (especially milkfish) that has been dried, salted, or simply marinated in vinegar with much garlic and then fried."
Philippine dishes,Embutido,Meat dish,"A meatloaf shaped in the form of a sausage, with eggs stuffed in the center."
Spanish dishes,Escabeche,,"referring to both a dish of poached or fried fish, and not only fish (escabeche of chicken, rabbit or pork is common in Spain) that is marinated in an acidic mixture before serving, and to the marinade itself."
Philippine dishes,Giniling (Picadillo),Meat Dish,"Ground pork or beef cooked with garlic, onion, soy sauce, tomatoes, and potatoes and frequently with carrots, raisins, and bell peppers."
shrimp dishes,Halabos na hipon,Shrimp dishes,Freshly caught shrimp that is boiled in little water and salt.[9][10] The modern way of cooking it is adding a little soda like Sprite to add a sweetish flavor.
Philippine dishes,Hamonado,Meat dish,"Also called endulsado in Zamboanga City. Pork cooked in a sweet sauce with pineapple juice and sugar. Tomato sauce is also sometimes added. It is named after the Spanish glazed ham (jamón and endulzado mean ""ham"" and ""glazed"" in Spanish, respectively). It is also the name of a type of sweet Philippine sausage noted for its ham-like taste."
Philippine dishes,Humba,Meat dish,A Visayan slow-cooked sweet pork dish based on the Chinese dish Hong-ba (red-braised pork belly). It is similar to pork adobo and hamonado except that it characteristically uses fermented black soybeans (tausi).
Philippine dishes,Inasal na manok,Meat dish,"Grilled chicken marinated in a vinegar marinade. Often served with a side of atchara and soy-vinegar dip, and with garlic rice and yellow atsuete oil."
Philippine dishes,Inihaw na liempo,Meat dish,Grilled pork belly.
Philippine dishes,Inun-unan,Seafood,"Visayan variant of fish paksiw. Fish cooked in a broth of vinegar, ginger, and other spices. Unlike northern paksiw na isda, it does not include vegetables."
Philippine dishes,Kadyos-Baboy-Langka,Meat dish,"The name refers to the three main ingredients used in the dish: kadyos (pigeon peas), baboy (pork) and langka (jackfruit). The broth is soured with batwan, a fruit native to Southeast Asia."
Philippine dishes,Kadyos Manok Ubad,Meat dish,"The name refers to the three main ingredients used in the dish: kadyos (pigeon peas), manok (chicken) and ubad (the edible inner layers of a banana stalk)."
Philippine dishes,Kaldereta,Meat dish to,"A dish made with cuts of pork, beef or goat simmered in tomato paste or tomato sauce, with liver spread added to it."
Philippine dishes,Kinunot,Seafood,From the word kunot which literally means shred. A dish made up of either shredded meat of pagi (stingray) or baby shark cooked in coconut milk with malunggay (moringa) leaves.
Philippine dishes,Kinilaw (Kilawin),Seafood/Meat/Vegetable dish,"A cooking process that relies on vinegar to denature the ingredients, similar to ceviche. Usually used to prepare raw seafood. It can also be used to prepare lightly cooked meat or vegetables."
Philippine dishes,Lechón,Meat dish,"A dish made by roasting a whole pig over charcoal. It is often cooked during special occasions. A simpler version has chopped pieces of pork fried in a pan or wok (lechon kawali). A variant that is popular in the Visayas region is lechon de leche, which is a whole roasted suckling pig.Also refers to the manner of cooking, i.e., spitted and charcoal-roasted, for example, lechon manok (roasted chicken)."
Philippine dishes,Lengua estofada,Meat dish,Braised ox tongue.
Indonesian dishes,Lumpia,Spring roll,"A spring roll, made of thin paper-like or crepe-like pastry skin called ""lumpia wrapper"" enveloping savory or sweet fillings. It is often served as an appetizer or snack, and might be served deep fried or fresh (unfried)."
Philippine dishes,Mechado,Meat dish,"Name derived from mitsa meaning ""wick"" which is what the pork fat inserted into a slab of beef looks like before the larded beef is cooked, sliced, and served in the seasoned tomato sauce it is cooked in."
Philippine dishes,Morcon,Meat dish,"A beef roulade often prepared for special occasions it consists of thin sheets of cooked eggs and marinated beef layered one on top of the other, then wrapped and tied around carrots, celery, cheese, pork fat, and sausage. This is then cooked in seasoned tomato sauce."
Philippine dishes,Paksiw,,"Generally means to cook and simmer in vinegar.  Common dishes bearing the term, however, can vary substantially depending on what is being cooked. Paksiw na isda is fish poached in a vinegar broth usually seasoned with fish sauce and spiced with siling mahaba and possibly containing vegetables. Paksiw na baboy is pork, usually hock or shank, cooked in ingredients similar to those in adobo but with the addition of sugar and banana blossoms to make it sweeter and water to keep the meat moist and to yield a rich sauce.  Paksiw na lechon is roasted pork lechon meat cooked in lechon sauce or its component ingredients of vinegar, garlic, onions, black pepper and ground liver or liver spread and some water.  The cooking reduces the sauce so that by the end the meat is almost being fried."
Philippine dishes,Pata tim,Meat dish,"Braised pork leg dish similar to Paksiw na Pata, Chinese style. Simmered in a sweet soy sauce flavored by Chinese herbs such as star anise, banana blossoms, etc."
Philippine dishes,Pinakbet,Vegetable dish,"A popular Ilocano dish made of different vegetables like okra, eggplant and bitter gourd cooked in fish sauce."
Philippine dishes,"Pinangat, Natong, or Laing",Vegetable dish,"In Bicol refers to a dish of taro leaves, chili, meat, and coconut milk tied securely with coconut leaf.  In Manila the dish is known more commonly as laing.  Pinangat or pangat also refers to a dish or method of cooking involving poaching fish in salted water and tomatoes."
Philippine dishes,Relleno,,"Stuffed meat, seafood, or vegetable dishes like rellenong bangus (stuffed milkfish), rellenong manok (stuffed chicken), and rellenong talong (stuffed eggplant) also known as tortang talong (see below)."
Philippine dishes,Sarsiado,Fish dish,Fish that is cooked with tomato sauce and real tomatoes.
dishes made using coconut milk,Sinanglay,Dishes that use coconut milk,"Stuffed fish wrapped in leafy vegetables, lemongrass or pandan leaves, and cooked in spicy coconut milk"
Philippine dishes,Sisig,Meat/Fish dish,"Fried and sizzled chopped bits of pig's head and liver, other versions using tuna or milkfish, usually seasoned with calamansi and chili peppers and sometimes topped with an egg."
Philippine dishes,Tapa,Meat dish,"Dried, cured, or marinated sliced beef that is fried or grilled."
street foods,Torta,Street foods,"A large sandwich with any of various meat fillings and other flavorful ingredients, served on a telera or similar bread; often eaten at lunch time[318] It is a common street food in Mexico City, Mexico.[319]"
Philippine dishes,Ukoy,Vegetable dish,Shrimp fritters often accompanied by vinegar as dipping sauce.
Philippine dishes,Batchoy,Noodle soup,"A noodle soup which originated in the district of La Paz, Iloilo City in the Philippines."
Philippine dishes,Bicol express,Stew,"A stew made from long green chilies, coconut milk, alamang (shrimp paste) or daing (dried fish), onion, sliced or cubed pork meat, and garlic."
Philippine dishes,Bulalo,Soup/Stew,"A deeply flavourful soup of beef shank, cabbage, and potatoes simmered for hours over low heat."
Philippine dishes,Callos,Stew,"A hearty stew of chorizo, beef tripe in tomato sauce."
Philippine dishes,Dinengdeng,Soup,A bagoong soup based dish similar to pinakbet. It contains fewer vegetables and contains more bagoong soup base.
Philippine dishes,Dinuguan,Stew,"A savory stew of meat simmered in a rich, thick spicy gravy of pig's blood, garlic, chili, and vinegar."
dishes made using coconut milk,Ginataan,Dishes that use coconut milk,Generic term for entrées or desserts simmered in coconut milk
Philippine dishes,Kare-kare,Stew,"A meat, tripe, and oxtail stew with vegetables in peanut sauce customarily served with bagoong alamang (shrimp paste)."
Philippine dishes,Lauya,Soup/Stew,"A dish of pork, beef, or carabao meat in broth flavored with ginger, onions and fish sauce served as a soup or main entrée."
Philippine dishes,Mami,Soup,"Generic term for noodle soup. Usually made of beef, chicken, pork."
Philippine dishes,Menudo,Stew,"A stew of pork, pig liver, carrots and potatoes in tomato sauce."
Philippine dishes,Nilagang baka,Soup/Stew,"A beef stew with cabbages, potatoes, and onion seasoned with fish sauce and black peppercorns usually using beef chuck or brisket. When using beef shank including the bone and marrow it is called nilagang bulalo."
Philippine dishes,Pancit Molo,Soup/Stew,A type of soup using wonton wrappers which originated from Molo district in Iloilo City.
Philippine dishes,Papaitan,Soup/Stew,A sour beef/goat innards soup. The bile or papait (undigested grass juice) is used as the primary souring agent.
Philippine dishes,Pares,Stew,"Filipino word for ""Pair"". A viand, usually beef asado, served with rice and a bowl of soup"
Philippine dishes,Pochero,Stew,"A beef/pork soup stew, usually nilagang baka, cooked with tomato sauce and pork and beans"
Philippine dishes,Sinanglaw,Soup/Stew,A hotpot made from beef innards.
Philippine dishes,Sinigang,Soup/Stew,"A sour soup/stew made with pork meat, beef or seafood, mixed with a variety of vegetables. Any sour fruit such as tamarind, unripe mango and pineapple is usually used as the souring agent."
Philippine dishes,Sopas,Noodle soup,"Macaroni chicken soup. Usually contains chicken strips in broth, onions, vegetables (mainly carrots, cabbage and celery), in addition to macaroni noodles. It is cooked with evaporated milk to give it richer flavor."
Philippine dishes,Soup No. 5,Soup,A soup made from bull's testes or penis.
Philippine dishes,Tinola,Soup/Stew,"A dish often made of chicken, although pork and fish can also be used, wedges of green papaya, and chili pepper leaves, in broth flavoured with ginger, onions and fish sauce served as a soup or main entrée.Tinolang isda goes well with kangkong (water spinach)."
Philippine dishes,Pancit lomi,Noodles,A Chinese-Filipino dish made with a variety of thick fresh egg noodles of about a quarter of an inch in diameter.
Philippine dishes,Misua,Noodles,"A soup with misua (very thin flour noodles). Choice of protein can include: meatballs, canned tuna in tomato sauce, and chicken."
Philippine dishes,Pancit luglug,Noodles,"Similar to pancit palabok, except made with larger noodles. The name luglug comes from the sound made by the draining of the noodles."
Philippine dishes,Pancit canton,Noodles,Chinese-Filipino version of Cantonese lo mein using flour-based noodles.
Philippine dishes,Pancit bihon guisado,Noodles,Stir-fried vermicelli noodles with vegetables and pork or chicken.
Philippine dishes,Pancit Tuguegarao or Batil-patong,Noodles,Pancit originating from the province of Cagayan
Philippine dishes,Pancit Malabon,Noodles,"Another variant of Pancit Palabok which uses shrimp, squid, and other seafoods as toppings. The noodles are thicker than that of the Palabok and Luglug."
Philippine dishes,Pancit estacion,Noodles,
Philippine dishes,Pancit palabok,Noodles,"Rice noodles cooked in anato seeds, usually served with hard-boiled egg, chicharon, spring onions, and kalamansi"
